Country,Sex,ageStart,ageGroup,ageLabel,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Belgium,Males,35,35-39,From 35 to 39 years,411345,411468,410627,407125,400179,392326,388525,386354,385287,382905,378010,375814,369691,365998,364221,366816,372702,375095,376960
Belgium,Males,40,40-44,From 40 to 44 years,391774,396017,400870,404869,408212,411790,413953,413681,411776,406619,400823,401527,399382,397279,393188,387498,379882,372835,368851
Belgium,Males,45,45-49,From 45 to 49 years,360506,364616,370889,375847,382008,388331,393789,399335,404072,408775,413826,418826,418731,416260,410637,404305,401497,398366,396214
Belgium,Males,50,50-54,From 50 to 54 years,339112,348568,346597,348258,349780,353204,357987,364663,370283,377220,384169,391809,397456,401712,406163,410910,413357,413181,410783
Belgium,Males,55,55-59,From 55 to 59 years,255179,262549,286349,305293,318127,327606,336999,335595,337939,339739,343475,349491,355833,361258,367717,374636,380606,385904,390754
Belgium,Males,60,60-64,From 60 to 64 years,254031,251011,242783,237692,237637,241411,248736,271301,289377,301676,311066,320715,319357,321183,322964,326663,331637,337865,343290
Belgium,Males,65,65-69,From 65 to 69 years,242498,237903,233894,231550,232610,232943,230477,223375,219042,219183,223053,230219,251202,267506,278822,287271,295892,294783,296815
Belgium,Males,70,70-74,From 70 to 74 years,199636,202318,206087,209282,210246,210618,207712,205247,204647,206333,207125,205382,199046,194988,195306,199174,205465,224318,239355
Belgium,Males,75,75-79,From 75 to 79 years,150721,152616,153895,155037,156109,157636,161235,165601,169513,171250,172750,171538,170556,170803,172556,173803,172465,167200,164260
Belgium,Males,80,80-84,From 80 to 84 years,58361,66548,76362,86090,95329,101291,103843,105579,107782,109706,111840,115591,119999,123269,125597,127863,127478,127667,129001
Belgium,Males,85,85,85 years or over,47921,47753,46176,43765,41713,43759,48970,54581,59950,64608,69447,74114,78568,82014,85325,89829,94848,99905,103975
Belgium,Total,1,1-4,From 1 to 4 years,577217,577249,575795,572656,571374,574859,580368,590156,600728,617537,628734,645512,650440,652368,648331,644413,638176,631137,622862
Belgium,Total,5,5-9,From 5 to 9 years,621109,610756,602236,594858,590072,589114,592003,591860,590108,591001,596506,607325,616275,627941,640984,651380,662708,666986,669250
Belgium,Total,10,10-14,From 10 to 14 years,606459,617085,627214,635185,635993,630885,623731,615713,609619,606338,606994,614460,614155,611305,611000,614953,620458,629697,641830
Belgium,Total,15,15-19,From 15 to 19 years,615179,607134,603698,604669,611017,619183,632604,643400,652315,654046,650632,649018,642314,635280,629626,628388,634837,632988,630153
Belgium,Total,20,20-24,From 20 to 24 years,628741,635654,642378,645771,645006,641765,637168,637132,640516,650740,660718,684094,695080,703207,701351,695568,691260,681140,673462
Belgium,Total,25,25-29,From 25 to 29 years,698235,678093,663105,654800,652039,655762,667765,678363,686192,690986,691709,700373,701310,704204,709177,716082,731621,738490,744939
Belgium,Total,30,30-34,From 30 to 34 years,760906,748946,744055,740416,732319,719497,703395,691381,686601,689150,698056,722935,731968,737788,736260,733730,730150,727461,728549
Belgium,Total,35,35-39,From 35 to 39 years,811940,812192,809427,801960,788716,773719,766820,762997,761910,756734,747726,741202,729589,723159,721704,727252,740377,746788,751232
Belgium,Total,40,40-44,From 40 to 44 years,776617,784150,793832,801534,808508,814992,818710,816756,811766,801519,789754,789891,786663,783980,775999,765155,750305,737199,730309
Belgium,Total,45,45-49,From 45 to 49 years,713624,722954,736397,746784,759489,772462,782371,793170,802015,810856,820067,828165,826596,820548,809626,796802,791274,786509,783682
Belgium,Total,50,50-54,From 50 to 54 years,673516,692077,689050,692146,695175,703492,714021,727852,739278,753160,767527,781240,792169,800063,808195,816282,819885,817724,811908
Belgium,Total,55,55-59,From 55 to 59 years,514710,529034,575266,612865,638422,656486,675073,672805,676975,680408,689451,702335,715866,726692,739423,753004,763475,773690,782337
Belgium,Total,60,60-64,From 60 to 64 years,525739,518355,500880,489810,488171,494136,508336,552887,589117,613827,631872,650906,648725,651981,654989,663321,673689,686675,697421
Belgium,Total,65,65-69,From 65 to 69 years,521416,509980,499825,492647,493967,493991,487826,471769,461720,460265,466145,480200,522162,555370,578204,594460,611320,609072,612577
Belgium,Total,70,70-74,From 70 to 74 years,457815,462437,468108,473652,473162,471751,462644,455134,450437,452608,453287,448375,433413,423593,422207,427869,440336,478946,509719
Belgium,Total,75,75-79,From 75 to 79 years,379364,381965,383180,383993,384354,386106,392695,399520,406356,407196,407579,401594,396646,393422,395867,397254,392664,379378,371582
Belgium,Total,80,80-84,From 80 to 84 years,170093,190663,216487,242252,267180,282073,286129,288964,292033,294423,297727,304788,312304,318451,320754,322955,319074,316652,315977
Belgium,Total,85,85,85 years or over,186405,184690,178792,169846,161457,165579,179723,194675,209180,222286,235421,248225,260214,268622,277143,288406,299508,311195,320800
Bulgaria,Females,1,1-4,From 1 to 4 years,165443,166176,155314,157398,157807,156220,155524,157724,160456,163501,166708,166893,168155,168427,166741,164119,162258,160560,159533
Bulgaria,Females,5,5-9,From 5 to 9 years,211410,198717,177281,165228,157477,155165,155119,153269,154702,155365,154092,153508,156044,158958,162475,166879,168825,169757,169800
Bulgaria,Females,10,10-14,From 10 to 14 years,257090,252256,238380,227451,215093,201041,187135,176355,164422,156128,153408,153163,151743,153629,155003,153910,153526,155793,158776
Bulgaria,Females,15,15-19,From 15 to 19 years,274016,269408,257294,254165,251149,248775,243801,235027,224941,212773,199145,184585,173812,162888,154609,151983,151901,150302,152046
Bulgaria,Females,20,20-24,From 20 to 24 years,306792,300771,272629,264133,257330,249939,246038,244003,242410,241401,240363,237815,231177,222064,210009,196210,181573,169454,157370
Bulgaria,Females,25,25-29,From 25 to 29 years,293883,298348,282320,285334,281651,275935,267847,259579,251146,244804,238692,235511,235716,235769,235863,235601,233455,225882,215962
Bulgaria,Females,30,30-34,From 30 to 34 years,271571,277269,270023,270565,269546,270486,272045,274222,276800,273267,266398,257978,250654,243638,238889,233998,232217,231859,231894
Bulgaria,Females,35,35-39,From 35 to 39 years,275890,271195,253304,248600,250901,253999,257667,260981,262275,261322,262540,263803,266824,270194,268089,262051,255285,247772,240549
Bulgaria,Females,40,40-44,From 40 to 44 years,288805,284831,271760,266578,261894,257831,251421,244258,239574,241995,245641,249445,253924,256462,256523,258549,260774,263603,266996
Bulgaria,Females,45,45-49,From 45 to 49 years,302328,294722,285826,283210,279243,274556,268450,263660,258963,254523,250926,245086,238368,234089,237175,241613,246158,250398,252670
